School Name,School Code,School ID
University of Saint Francis,U2Nob29sLTI2Mg==,262
The College of Saint Scholastica,U2Nob29sLTI2NA==,264
College of Santa Fe,U2Nob29sLTI2NQ==,265
College of the Atlantic,U2Nob29sLTI2Ng==,266
Holy Cross,U2Nob29sLTI2Nw==,267
College of the Ozarks,U2Nob29sLTI2OA==,268
College of William and Mary,U2Nob29sLTI2OQ==,269
The College of Wooster,U2Nob29sLTI3MQ==,271
Colorado Christian University,U2Nob29sLTI3Mg==,272
Colorado College,U2Nob29sLTI3Mw==,273
Colorado School of Mines,U2Nob29sLTI3NA==,274
Colorado State University,U2Nob29sLTI3NQ==,275
Columbia Pacific University,U2Nob29sLTI3Ng==,276
Washington Adventist University,U2Nob29sLTI3Nw==,277
Columbia University,U2Nob29sLTI3OA==,278
Columbus College of Art and Design,U2Nob29sLTI3OQ==,279
Columbus State University,U2Nob29sLTI4MA==,280
Concord University,U2Nob29sLTI4MQ==,281
Concordia University Chicago,U2Nob29sLTI5MA==,290
Connecticut College,U2Nob29sLTI5Mg==,292
Converse College,U2Nob29sLTI5Mw==,293
Cooper Union,U2Nob29sLTI5NA==,294
Coppin State University,U2Nob29sLTI5NQ==,295
Corcoran College of Art &amp; Design,U2Nob29sLTI5Ng==,296
Cornell College,U2Nob29sLTI5Nw==,297
Cornell University,U2Nob29sLTI5OA==,298
Cornerstone University,U2Nob29sLTI5OQ==,299
Covenant College,U2Nob29sLTMwMA==,300
Creighton University,U2Nob29sLTMwMQ==,301
Criswell College,U2Nob29sLTMwMg==,302
Culver-Stockton College,U2Nob29sLTMwNA==,304
University of the Cumberlands,U2Nob29sLTMwNQ==,305
Curry College,U2Nob29sLTMwNg==,306
Earlham College,U2Nob29sLTMwNw==,307
East Carolina University,U2Nob29sLTMwOA==,308
East Central University,U2Nob29sLTMwOQ==,309
East Stroudsburg University,U2Nob29sLTMxMA==,310
East Tennessee State University,U2Nob29sLTMxMQ==,311
East Texas Baptist University,U2Nob29sLTMxMg==,312
Eastern University,U2Nob29sLTMxNA==,314
Eastern Connecticut State University,U2Nob29sLTMxNQ==,315
Eastern Illinois University,U2Nob29sLTMxNg==,316
EKU,U2Nob29sLTMxNw==,317
Eastern Mennonite University,U2Nob29sLTMxOA==,318
Eastern Nazarene College,U2Nob29sLTMyMA==,320
Eastern New Mexico University,U2Nob29sLTMyMQ==,321
Eastern Oregon University,U2Nob29sLTMyMg==,322
Eastern Washington University,U2Nob29sLTMyMw==,323
East-West University,U2Nob29sLTMyNQ==,325
Eckerd College,U2Nob29sLTMyNg==,326
Edgewood College,U2Nob29sLTMyNw==,327
Edinboro University,U2Nob29sLTMyOA==,328
Elizabeth City State University,U2Nob29sLTMyOQ==,329
Elizabethtown College,U2Nob29sLTMzMA==,330
Elmhurst University,U2Nob29sLTMzMQ==,331
Elmira College,U2Nob29sLTMzMg==,332
Elon University,U2Nob29sLTMzMw==,333
Emerson College,U2Nob29sLTMzNg==,336
Emmaus Bible College,U2Nob29sLTMzOA==,338
Emory and Henry College,U2Nob29sLTMzOQ==,339
Emory University,U2Nob29sLTM0MA==,340
Emporia State University,U2Nob29sLTM0MQ==,341
Endicott College,U2Nob29sLTM0Mg==,342
Erskine College,U2Nob29sLTM0Mw==,343
The New School for Social Research,U2Nob29sLTM0NA==,344
Evangel College,U2Nob29sLTM0NQ==,345
Evergreen State College,U2Nob29sLTM0Ng==,346
Gallaudet University,U2Nob29sLTM0Nw==,347
Gannon University,U2Nob29sLTM0OA==,348
